Issue Type,Summary,Description,Priority,Epic Name,Story Points
Epic,E1. Onboarding y Cuenta,"Epic onboarding",Alta,E1. Onboarding y Cuenta,
Epic,E2. Diagnóstico Familiar,"Epic diagnóstico",Alta,E2. Diagnóstico Familiar,
Epic,E3. Planes IA y Seguimiento,"Epic planes IA",Alta,E3. Planes IA y Seguimiento,
Epic,E4. Comunicación y Comunidad,"Epic comunicación",Media,E4. Comunicación y Comunidad,
Epic,E5. Reportes y Analítica,"Epic reportes",Media,E5. Reportes y Analítica,
Epic,E6. Plataforma y Operación,"Epic técnico",Alta,E6. Plataforma y Operación,

Story,Registro de cuenta principal,"Crear cuenta titular con email y contraseña segura",Alta,E1. Onboarding y Cuenta,5
Story,Inicio de sesión JWT,"Implementar login con generación de token JWT",Alta,E1. Onboarding y Cuenta,5
Story,Creación de familia,"Permitir crear grupo familiar",Alta,E1. Onboarding y Cuenta,3
Story,Alta de miembros,"Registrar miembros del hogar",Media,E1. Onboarding y Cuenta,3

Story,Endpoint preguntas,"Exponer preguntas por dimensión",Alta,E2. Diagnóstico Familiar,5
Story,Captura respuestas,"Guardar respuestas",Alta,E2. Diagnóstico Familiar,5
Story,Cálculo riesgo,"Calcular score y riesgo",Alta,E2. Diagnóstico Familiar,8
Story,UI diagnóstico,"Formulario Angular diagnóstico",Alta,E2. Diagnóstico Familiar,8

Story,Generación plan,"Crear plan basado en diagnóstico",Alta,E3. Planes IA y Seguimiento,8
Story,Integración IA,"Consumir servicio IA",Alta,E3. Planes IA y Seguimiento,8
Story,Checklist,"Marcar tareas completadas",Media,E3. Planes IA y Seguimiento,5
Story,UI plan,"Visualizar plan",Alta,E3. Planes IA y Seguimiento,5

Task,Definir comunidad,"Definir alcance MVP",Baja,E4. Comunicación y Comunidad,2
Task,Prototipo mensajes,"Explorar mensajes",Baja,E4. Comunicación y Comunidad,3

Story,Dashboard,"Visualizar métricas",Media,E5. Reportes y Analítica,5
Story,Endpoint analítico,"Resumen backend",Media,E5. Reportes y Analítica,5

Task,Seguridad JWT,"Configurar seguridad",Alta,E6. Plataforma y Operación,8
Task,Docker Compose,"Infraestructura local",Alta,E6. Plataforma y Operación,5
Task,Flyway,"Migraciones DB",Alta,E6. Plataforma y Operación,5
Task,Errores API,"Manejo global errores",Alta,E6. Plataforma y Operación,5
Task,Swagger,"Documentación API",Media,E6. Plataforma y Operación,3
Task,Testing,"Pruebas integración",Media,E6. Plataforma y Operación,5